idx, formula, icsd, V.MFrac, Fe.MFrac, Cu.MFrac, OM.Ratio
141, V2O5, 00-052-0794, 1.0000, 0.0000, 0.0000, 2.5000
142, V2O5, 00-053-0538, 1.0000, 0.0000, 0.0000, 2.5000
143, V2O5, 01-083-2547, 1.0000, 0.0000, 0.0000, 2.5000
144, V2O5, 04-007-0398, 1.0000, 0.0000, 0.0000, 2.5000
145, V2O5, 04-007-2512, 1.0000, 0.0000, 0.0000, 2.5000
146, V2O5, 04-012-3680, 1.0000, 0.0000, 0.0000, 2.5000
147, V2O5, 04-015-3694, 1.0000, 0.0000, 0.0000, 2.5000
148, V2O, 00-035-0361, 1.0000, 0.0000, 0.0000, 0.5000
149, V2O, 00-039-0773, 1.0000, 0.0000, 0.0000, 0.5000
150, V3Fe2O8, 04-007-8855, 0.6000, 0.4000, 0.0000, 1.6000
151, V3O4, 00-034-0615, 1.0000, 0.0000, 0.0000, 1.3333
152, V3O5, 04-007-0357, 1.0000, 0.0000, 0.0000, 1.6667
153, V3O5, 04-007-0359, 1.0000, 0.0000, 0.0000, 1.6667
154, V3O5, 04-016-9633, 1.0000, 0.0000, 0.0000, 1.6667
155, V3O5, 04-019-7352, 1.0000, 0.0000, 0.0000, 1.6667
156, V3O7, 04-007-0598, 1.0000, 0.0000, 0.0000, 2.3333
157, V4Fe2O13, 04-011-4796, 0.6667, 0.3333, 0.0000, 2.1667
158, V4O7, 00-018-1452, 1.0000, 0.0000, 0.0000, 1.7500
159, V4O9, 00-023-0720, 1.0000, 0.0000, 0.0000, 2.2500
160, V4O9, 04-007-0884, 1.0000, 0.0000, 0.0000, 2.2500
161, V51.6O64, 01-080-3090, 1.0000, 0.0000, 0.0000, 1.2403
162, V5O9, 04-003-1726, 1.0000, 0.0000, 0.0000, 1.8000
163, V5O9, 04-007-0445, 1.0000, 0.0000, 0.0000, 1.8000
164, V6O11, 00-018-1451, 1.0000, 0.0000, 0.0000, 1.8333
165, V6O11, 04-008-0733, 1.0000, 0.0000, 0.0000, 1.8333
166, V6O12.90, 04-007-8258, 1.0000, 0.0000, 0.0000, 2.1500
167, V6O13, 01-089-0100, 1.0000, 0.0000, 0.0000, 2.1667
168, V6O13, 04-007-0978, 1.0000, 0.0000, 0.0000, 2.1667
169, V6O13, 04-007-1361, 1.0000, 0.0000, 0.0000, 2.1667
170, V7O13, 00-018-1449, 1.0000, 0.0000, 0.0000, 1.8571
171, V7O3, 04-015-2270, 1.0000, 0.0000, 0.0000, 0.4286
172, V7O4, 04-020-2559, 1.0000, 0.0000, 0.0000, 0.5714
