sample_no,V,Cu,Fe
20670,0.142,0.63,0.229
20676,0.143,0.604,0.253
20682,0.149,0.577,0.274
20688,0.153,0.548,0.299
20693,0.155,0.529,0.316
20699,0.16,0.5,0.34
20705,0.159,0.47,0.371
20711,0.159,0.447,0.394
20717,0.161,0.421,0.418
20723,0.158,0.395,0.447
20729,0.158,0.367,0.475
20735,0.152,0.35,0.498
20741,0.147,0.325,0.528
20747,0.145,0.305,0.55
20752,0.143,0.286,0.571
20758,0.141,0.267,0.592
20764,0.135,0.25,0.615
21682,0.0869,0.805,0.108
21687,0.0905,0.792,0.117
21693,0.0948,0.776,0.13
21699,0.102,0.754,0.144
21705,0.106,0.735,0.159
21711,0.114,0.712,0.174
21717,0.118,0.689,0.194
21723,0.123,0.665,0.212
21729,0.127,0.642,0.231
21735,0.133,0.614,0.253
21741,0.137,0.585,0.278
21747,0.14,0.559,0.301
21752,0.14,0.539,0.321
21758,0.145,0.509,0.346
21764,0.147,0.483,0.37
21770,0.145,0.457,0.399
21776,0.145,0.427,0.428
21782,0.144,0.404,0.452
21788,0.143,0.379,0.478
21794,0.139,0.356,0.505
21800,0.139,0.329,0.533
21806,0.136,0.306,0.558
21811,0.132,0.289,0.58
21817,0.127,0.272,0.601
21823,0.122,0.252,0.626
22710,0.0832,0.799,0.118
22716,0.0865,0.783,0.131
22722,0.0935,0.764,0.142
22728,0.0968,0.746,0.157
22734,0.105,0.722,0.173
22740,0.106,0.703,0.191
22746,0.113,0.675,0.212
22752,0.117,0.649,0.234
22758,0.122,0.623,0.255
22764,0.124,0.596,0.279
22770,0.13,0.569,0.301
22775,0.132,0.543,0.325
22781,0.131,0.522,0.347
22787,0.133,0.488,0.379
22793,0.133,0.462,0.405
22799,0.134,0.434,0.431
22805,0.134,0.406,0.459
22811,0.133,0.378,0.489
22817,0.129,0.36,0.511
22823,0.126,0.331,0.543
22829,0.124,0.31,0.567
22834,0.122,0.291,0.587
22840,0.118,0.273,0.609
23698,0.0799,0.79,0.13
23704,0.0843,0.775,0.141
23710,0.0897,0.753,0.157
23716,0.0947,0.732,0.173
23722,0.097,0.71,0.193
23728,0.104,0.684,0.211
23734,0.107,0.659,0.233
23740,0.113,0.633,0.254
23746,0.115,0.607,0.279
23752,0.115,0.581,0.304
23757,0.118,0.555,0.327
23763,0.12,0.526,0.354
23769,0.123,0.496,0.382
23775,0.122,0.47,0.408
23781,0.124,0.438,0.438
23787,0.121,0.414,0.465
23793,0.122,0.386,0.492
23799,0.117,0.36,0.523
23805,0.116,0.337,0.546
23811,0.112,0.313,0.575
23816,0.11,0.297,0.593
24486,0.0784,0.781,0.141
24492,0.0826,0.76,0.157
24498,0.0882,0.74,0.172
24504,0.0913,0.717,0.192
24510,0.0961,0.692,0.211
24516,0.1,0.667,0.233
24522,0.104,0.642,0.254
24528,0.109,0.611,0.281
24534,0.11,0.585,0.305
24539,0.111,0.56,0.329
24545,0.114,0.532,0.354
24551,0.115,0.502,0.384
24557,0.114,0.474,0.413
24563,0.114,0.445,0.44
24569,0.112,0.417,0.471
24575,0.113,0.389,0.498
24581,0.11,0.363,0.527
24587,0.108,0.341,0.552
24593,0.105,0.315,0.58
25379,0.0762,0.768,0.155
25385,0.0801,0.746,0.173
25391,0.0841,0.724,0.192
25397,0.0891,0.7,0.21
25403,0.0927,0.676,0.231
25409,0.0945,0.65,0.255
25415,0.099,0.621,0.28
25421,0.101,0.593,0.307
25426,0.103,0.569,0.328
25432,0.103,0.538,0.359
25438,0.107,0.508,0.385
25444,0.107,0.476,0.417
25450,0.105,0.448,0.447
25456,0.104,0.419,0.477
25462,0.104,0.391,0.505
25468,0.103,0.367,0.53
25474,0.102,0.338,0.56
26207,0.0746,0.752,0.173
26213,0.0773,0.732,0.191
26219,0.0798,0.709,0.211
26225,0.0838,0.681,0.235
26231,0.0876,0.656,0.256
26237,0.0912,0.627,0.282
26243,0.0941,0.597,0.309
26248,0.0938,0.573,0.333
26254,0.0965,0.544,0.36
26260,0.0987,0.513,0.388
26266,0.097,0.481,0.422
26272,0.0982,0.452,0.45
26278,0.0964,0.424,0.479
26284,0.0933,0.396,0.51
26290,0.0949,0.368,0.537
26962,0.0759,0.713,0.211
26968,0.0801,0.687,0.233
26974,0.0801,0.662,0.258
26980,0.0826,0.633,0.284
26986,0.0872,0.605,0.308
26991,0.0883,0.579,0.332
26997,0.0884,0.549,0.363
27003,0.0907,0.516,0.393
27009,0.09,0.487,0.423
27015,0.0908,0.458,0.451
27021,0.0894,0.426,0.485
