SnO2 ● Tin Oxide
Wavelength = 0.9764Å
22.65	1.34
22.675	1.33
22.7	1.32
22.725	1.31
22.75	1.31
22.775	1.3
22.8	1.3
22.825	1.31
22.85	1.32
22.875	1.33
22.9	1.34
22.925	1.36
22.95	1.39
22.975	1.41
23.0	1.45
23.025	1.49
23.05	1.53
23.075	1.58
23.1	1.65
23.125	1.72
23.15	1.8
23.175	1.89
23.2	2.0
23.225	2.12
23.25	2.26
23.275	2.43
23.3	2.62
23.325	2.84
23.35	3.11
23.375	3.43
23.4	3.81
23.425	4.27
23.45	4.83
23.475	5.54
23.5	6.44
23.525	7.65
23.55	9.41
23.575	12.28
23.6	17.33
23.625	26.38
23.65	41.88
23.675	66.03
23.7	99.23
23.725	138.07
23.75	173.44
23.775	190.82
23.8	180.14
23.825	147.87
23.85	108.81
23.875	73.7
23.9	47.21
23.925	29.73
23.95	19.32
23.975	13.51
24.0	10.27
24.025	8.35
24.05	7.1
24.075	6.22
24.1	5.58
24.125	5.12
24.15	4.82
24.175	4.69
24.2	4.8
24.225	5.3
24.25	6.47
24.275	8.69
24.3	12.33
24.325	17.48
24.35	23.65
24.375	29.43
24.4	32.49
24.425	31.03
24.45	25.87
24.475	19.42
24.5	13.51
24.525	8.99
24.55	5.95
24.575	4.11
24.6	3.05
24.625	2.44
24.65	2.07
24.675	1.81
24.7	1.61
24.725	1.45
24.75	1.32
24.775	1.21
24.8	1.12
24.825	1.04
24.85	0.97
24.875	0.91
24.9	0.85
24.925	0.81
24.95	0.76
24.975	0.72
25.0	0.69
25.025	0.65
25.05	0.62
25.075	0.6
25.1	0.57
25.125	0.55
25.15	0.53
25.175	0.51
25.2	0.49
25.225	0.47
25.25	0.45
25.275	0.44
25.3	0.42
25.325	0.41
25.35	0.4
25.375	0.39
25.4	0.39
25.425	0.38
25.45	0.38
25.475	0.37
25.5	0.36
25.525	0.35
25.55	0.34
25.575	0.34
25.6	0.33
25.625	0.32
25.65	0.32
25.675	0.31
25.7	0.31
25.725	0.3
25.75	0.3
25.775	0.3
25.8	0.29
25.825	0.29
25.85	0.29
25.875	0.29
25.9	0.29
25.925	0.28
25.95	0.28
25.975	0.29
26.0	0.29
26.025	0.29
26.05	0.29
26.075	0.3
26.1	0.23
26.125	0.23
26.15	0.24
26.175	0.25
26.2	0.27
26.225	0.28
26.25	0.3
26.275	0.33
26.3	0.36
26.325	0.4
26.35	0.45
26.375	0.51
26.4	0.61
26.425	0.77
26.45	1.02
26.475	1.5
26.5	2.35
26.525	3.69
26.55	5.59
26.575	7.89
26.6	10.14
26.625	11.5
26.65	11.23
26.675	9.49
26.7	7.15
26.725	4.93
26.75	3.2
26.775	2.02
26.8	1.31
26.825	0.9
26.85	0.67
